OID_;conn_energy_carrier;lat_touch
1;Electricity;64,2464981
2;Electricity;64,2469177
3;Electricity;64,2624893
4;Electricity;64,2624893
5;Electricity;64,4457092
6;Electricity;64,4646912
7;Electricity;64,4647903
8;Electricity;64,4667130
9;Electricity;64,4569321
10;Electricity;64,4638290
11;Electricity;64,4649200
12;Electricity;64,4660110
13;Electricity;64,4665680
14;Electricity;64,4669724
15;Electricity;64,4672012
16;Electricity;64,4680099
17;Electricity;64,4684296
18;Electricity;64,4724121
19;Electricity;64,4710922
20;Electricity;64,4923477
21;Electricity;64,4938889
22;Electricity;64,4938889
23;Electricity;64,4938889
24;Electricity;64,4934387
25;Electricity;64,4940720
26;Electricity;64,4977570
27;Electricity;64,4983597
28;Electricity;64,5033722
29;Electricity;64,5079117
30;Electricity;64,5194168
31;Electricity;64,4974976
32;Electricity;64,4997864
33;Electricity;64,5006409
34;Electricity;64,5012589
35;Electricity;64,5014877
36;Electricity;64,5592804
37;Electricity;64,5844727
38;Electricity;64,6372070
39;Electricity;64,6725998
40;Electricity;64,7420578
41;Electricity;64,7423019
42;Electricity;64,7866898
43;Electricity;64,8474579
44;Electricity;64,8395233
45;Electricity;64,8647919
46;Electricity;64,8647995
47;Electricity;64,8606110
48;Electricity;64,8608322
49;Electricity;64,8631058
50;Electricity;64,9336777
51;Electricity;64,9344101
52;Electricity;64,9626389
53;Electricity;65,0876236
54;Electricity;65,1674805
55;Electricity;65,3930588
56;Electricity;65,4036102
57;Electricity;65,4598770
58;Electricity;65,4611816
59;Electricity;65,4648132
60;Electricity;65,4760971
61;Electricity;65,5369568
62;Electricity;65,5956192
63;Electricity;65,6776428
64;Electricity;65,7838364
65;Electricity;65,8271790
66;Electricity;65,8281784
67;Electricity;65,8344574
68;Electricity;65,8351517
69;Electricity;65,8351593
70;Electricity;65,8357697
71;Electricity;65,8399734
72;Electricity;65,8414230
73;Electricity;65,8423080
74;Electricity;65,8462830
75;Electricity;65,8632584
76;Electricity;65,9568405
77;Electricity;66,0114212
78;Electricity;66,0642624
79;Electricity;66,0805893
80;Electricity;66,0814590
81;Electricity;66,1640701
82;Electricity;66,2011566
83;Electricity;66,2027817
84;Electricity;66,2959824
85;Electricity;66,3041687
86;Electricity;66,3045044
87;Electricity;66,3065720
88;Electricity;66,3070831
89;Electricity;66,3077164
90;Electricity;66,3077087
91;Electricity;66,3087921
92;Electricity;66,3098907
93;Electricity;66,3113480
94;Electricity;66,3116760
95;Electricity;66,3123474
96;Electricity;66,3128433
97;Electricity;66,3172989
98;Electricity;66,3203583
99;Electricity;66,3203278
100;Electricity;66,3219299
101;Electricity;66,3408203
102;Electricity;66,3634109
103;Electricity;66,3683777
104;Electricity;66,4043427
105;Electricity;66,3983841
106;Electricity;66,4626312
107;Electricity;66,5090637
108;Electricity;66,7428131
109;Electricity;66,8139954
110;Electricity;66,8140411
111;Electricity;66,8162613
112;Electricity;66,8230286
113;Electricity;66,8682709
114;Electricity;66,8689575
115;Electricity;66,8780670
116;Electricity;66,9086075
117;Electricity;66,9804840
118;Electricity;66,9829407
119;Electricity;66,9887314
120;Electricity;67,0339279
121;Electricity;67,0354233
122;Electricity;67,0361176
123;Electricity;67,0934372
124;Electricity;67,0904007
125;Electricity;67,1019974
126;Electricity;67,1020584
127;Electricity;67,1021271
128;Electricity;67,1016922
129;Electricity;67,1034088
130;Electricity;67,1215363
131;Electricity;67,1229172
132;Electricity;67,1444397
133;Electricity;67,2286530
134;Electricity;67,2355804
135;Electricity;67,2356491
136;Electricity;67,2587967
137;Electricity;67,2589874
138;Electricity;67,2590179
139;Electricity;67,2590561
140;Electricity;67,2593079
141;Electricity;67,2595367
142;Electricity;67,2607269
143;Electricity;67,2688522
144;Electricity;67,2689514
145;Electricity;67,2686462
146;Electricity;67,2728271
147;Electricity;67,2761383
148;Electricity;67,2776566
149;Electricity;67,2776566
150;Electricity;67,2778320
151;Electricity;67,2783813
152;Electricity;67,2786636
153;Electricity;67,2800064
154;Electricity;67,2804413
155;Electricity;67,2815323
156;Electricity;67,2815323
157;Electricity;67,2827530
158;Electricity;67,2829208
159;Electricity;67,2833481
160;Electricity;67,2835236
161;Electricity;67,2854385
162;Electricity;67,2911224
163;Electricity;67,2935410
164;Electricity;67,2976227
165;Electricity;67,3055573
166;Electricity;67,3467026
167;Electricity;67,5198593
168;Electricity;67,5800476
169;Electricity;67,7751999
170;Electricity;67,9007034
171;Electricity;67,9625092
172;Electricity;67,9625320
173;Electricity;68,0848923
174;Electricity;68,0978241
175;Electricity;68,1451111
176;Electricity;68,1482391
177;Electricity;68,1486893
178;Electricity;68,1542130
179;Electricity;68,1939621
180;Electricity;68,2325439
181;Electricity;68,2331696
182;Electricity;68,2333069
183;Electricity;68,2334671
184;Electricity;68,2337036
185;Electricity;68,2344437
186;Electricity;68,2390442
187;Electricity;68,2449188
188;Electricity;68,3425217
189;Electricity;68,4087982
190;Electricity;68,4056549
191;Electricity;68,4067001
192;Electricity;68,4114990
193;Electricity;68,4307404
194;Electricity;68,4354019
195;Electricity;68,4367371
196;Electricity;68,4372330
197;Electricity;68,4417114
198;Electricity;68,4910736
199;Electricity;68,4935379
200;Electricity;68,4963074
201;Electricity;68,5323639
202;Electricity;68,5236206
203;Electricity;68,5504074
204;Electricity;68,5508881
205;Electricity;68,5706329
206;Electricity;68,5512085
207;Electricity;68,5795364
208;Electricity;68,6210327
209;Electricity;68,6846390
210;Electricity;68,6939468
211;Electricity;68,6955566
212;Electricity;68,6961365
213;Electricity;68,6787720
214;Electricity;68,7049103
215;Electricity;68,7077866
216;Electricity;68,7718735
217;Electricity;68,7784576
218;Electricity;68,7793884
219;Electricity;68,7796936
220;Electricity;68,7802124
221;Electricity;68,7959518
222;Electricity;68,7819366
223;Electricity;68,7985535
224;Electricity;68,8002701
225;Electricity;68,8595963
226;Electricity;68,8602142
227;Electricity;68,8617325
228;Electricity;68,9094620
229;Electricity;68,9112625
230;Electricity;68,9146271
231;Electricity;68,9746857
232;Electricity;69,0551834
233;Electricity;69,1336670
234;Electricity;69,1454010
235;Electricity;69,1598969
236;Electricity;69,0133820
237;Electricity;69,0201492
238;Electricity;69,2134781
239;Electricity;69,2300415
240;Electricity;69,2321091
241;Electricity;69,2288513
242;Electricity;69,2301178
243;Electricity;69,2301331
244;Electricity;69,2309265
245;Electricity;69,2311096
246;Electricity;69,2312164
247;Electricity;69,2347336
248;Electricity;69,2175980
249;Electricity;69,2753677
250;Electricity;69,2185745
251;Electricity;69,2396774
252;Electricity;69,2956619
253;Electricity;69,3098602
254;Electricity;69,3100052
255;Electricity;69,3165131
256;Electricity;69,3197403
257;Electricity;69,3207550
258;Electricity;69,3408966
259;Electricity;69,3214874
260;Electricity;69,3762589
261;Electricity;69,3924637
262;Electricity;69,5438004
263;Electricity;69,4994736
264;Electricity;69,5416718
265;Electricity;69,5746155
266;Electricity;69,4437408
267;Electricity;69,6358871
268;Electricity;69,6363144
269;Electricity;69,6440506
270;Electricity;69,6476135
271;Electricity;69,6491318
