OID_;navn;type;innfartsparkering;referanse;id;bruksområde;antall_avgiftsfrie_plasser;antall_avgiftsbelagte_plasser;plasser_reservert_handikappede;antall_ladeplasser;antall_parkeringsplasser_små_k;antall_parkeringsplasser_store_;areal;avgift;avgifts__restriksjonsinfo;vinterdriftsklasse;brøyterodenummer;strørodenummer;byggeår;eier;vedlikeholdsansvarlig;parkeringstilbyder_navn;parkeringstilbyder_id;organisasjonsnummer;versjonsnummer;skiltplan_id;kjøretøytype__dimensjonerende;adresse;postnummer;poststed;lengdegrad;breddegrad;ORIG_FID;Long;Lat
1;Idrettens hus privat;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;65590;;1;4;1;0;;;;;;;;;;;;NARVIK KOMMUNE;301;959469059;1;101814;;Brugata 8;8514;NARVIK;599126,323800000012852;7594084,058000000193715;5;17,4178734;68,4419403
2;Trollvikveien ;LANGS_KJOREBANE;NEI;Parkeringsregisteret;32871;;27;0;0;0;;;;;;;;;;;;NARVIK KOMMUNE;301;959469059;1;45778;;Trollvikveien;8530;BJERKVIK;604322,000099999946542;7606300,956000000238419;8;17,5568199;68,5495300
3;Fylkeshuset i Bodø;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;33011;;6;83;2;2;;;;;;;;;;;;BODØ KOMMUNE;222;972418013;2;46058;;Prinsens gate 100;8005;BODØ;473134,033100000000559;7462777,686999999918044;19;14,3766460;67,2804337
4;Aspåsen skole - parkeringsplass;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;33031;;31;0;2;0;;;;;;;;;;;;BODØ KOMMUNE;222;972418013;1;46059;;Hålogalandsgata 25;8003;BODØ;473290,541900000011083;7462540,547500000335276;25;14,3803320;67,2783203
5;Havnegata 20-23;LANGS_KJOREBANE;NEI;Parkeringsregisteret;439;;0;8;0;0;;;;;;;;;;;;HARSTAD KOMMUNE DRIFT OG UTBYGGINGSTJENESTEN AVD PARKERING;111;991103937;6;8718;;Havnegata 23A;9405;HARSTAD;562286,675500000012107;7633112,808400000445545;105;16,5436840;68,8024139
6;Pakkhusgata;LANGS_KJOREBANE;NEI;Parkeringsregisteret;447;;3;0;0;0;;;;;;;;;;;;HARSTAD KOMMUNE DRIFT OG UTBYGGINGSTJENESTEN AVD PARKERING;111;991103937;3;2941;;Pakkhusgata 6;9405;HARSTAD;562335,954000000027008;7633159,779400000348687;112;16,5449333;68,8028183
7;Bjarne Erlingsøn gate 2-8;LANGS_KJOREBANE;NEI;Parkeringsregisteret;449;;6;0;0;0;;;;;;;;;;;;HARSTAD KOMMUNE DRIFT OG UTBYGGINGSTJENESTEN AVD PARKERING;111;991103937;5;10941;;Skolegata 10;9404;HARSTAD;562125,265999999945052;7633405,125799999572337;114;16,5398674;68,8050690
8;Ravns gate;LANGS_KJOREBANE;NEI;Parkeringsregisteret;457;;2;0;0;0;;;;;;;;;;;;HARSTAD KOMMUNE DRIFT OG UTBYGGINGSTJENESTEN AVD PARKERING;111;991103937;3;3372;;Halvdans gate 22;9405;HARSTAD;562078,653000000049360;7632882,610100000165403;118;16,5383873;68,8003922
9;Medkila skole;LANGS_KJOREBANE;NEI;Parkeringsregisteret;458;;4;0;0;0;;;;;;;;;;;;HARSTAD KOMMUNE DRIFT OG UTBYGGINGSTJENESTEN AVD PARKERING;111;991103937;5;55520;;Høgholtet 36;9414;HARSTAD;562370,014899999951012;7628307,772800000384450;119;16,5427608;68,7593155
10;Vidkuns gate;LANGS_KJOREBANE;NEI;Parkeringsregisteret;459;;3;0;0;0;;;;;;;;;;;;HARSTAD KOMMUNE DRIFT OG UTBYGGINGSTJENESTEN AVD PARKERING;111;991103937;3;3597;;H F Giævers gate 10;9404;HARSTAD;562326,028900000033900;7633202,919900000095367;120;16,5447159;68,8032074
