OID_;SOURCE_ID;telling;Shape_Length;Shape_Area;x;y;Count
1;1;185;20000;25000000;25,8276997;71,158989;0
2;2;327,5;20000;25000000;25,6670818;71,1228561;0
3;3;185;20000;25000000;25,8030949;71,1149521;0
4;4;270;20000;25000000;27,8285904;70,9846954;0
5;5;140;20000;25000000;25,3711052;71,0942612;0
6;6;130;20000;25000000;25,5070515;71,0865784;0
7;7;470;20000;25000000;25,7786064;71,0709152;0
8;8;180;20000;25000000;25,9142113;71,0629349;0
9;9;100;20000;25000000;27,3978462;70,9687119;0
10;10;274;20000;25000000;27,5319614;70,9595642;0
11;11;272;20000;25000000;27,6659451;70,950325;0
12;12;270;20000;25000000;27,7997952;70,940979;0
13;13;130;20000;25000000;25,4832668;71,0424957;0
14;14;120;20000;25000000;25,6188068;71,0347366;0
15;15;283,8;20000;25000000;25,7542343;71,0268707;0
16;16;409;20000;25000000;25,8895473;71,0189133;0
17;17;1721;20000;25000000;26,024744;71,0108566;1
18;18;340;20000;25000000;27,236063;70,9339523;0
19;19;348;20000;25000000;27,3700275;70,9249268;1
20;20;240,6666667;20000;25000000;27,5038605;70,915802;0
21;21;180;20000;25000000;27,7711334;70,8972626;0
22;22;160;20000;25000000;29,2313461;70,7884979;0
23;23;150;20000;25000000;29,3632393;70,778038;0
24;24;20;20000;25000000;24,9174919;71,0284042;0
25;25;20;20000;25000000;25,0531807;71,0210571;0
26;26;256,3333333;20000;25000000;25,7299786;70,9828262;0
27;27;240;20000;25000000;25,8649998;70,974884;0
28;28;712;20000;25000000;25,9999065;70,9668503;1
29;29;344;20000;25000000;27,2086563;70,8901367;0
30;30;344;20000;25000000;27,3423386;70,881134;0
31;31;180;20000;25000000;27,7426071;70,8535385;0
32;32;80;20000;25000000;28,008791;70,8346634;0
33;33;80;20000;25000000;28,1416817;70,8250809;0
34;34;150;20000;25000000;29,1998138;70,7450333;0
35;35;140;20000;25000000;29,33144;70,7346115;0
36;36;60;20000;25000000;24,216568;71,0194321;0
37;37;653;20000;25000000;24,6239967;70,9986191;1
38;38;240;20000;25000000;25,7058353;70,9387741;0
39;39;180;20000;25000000;27,7142105;70,8098068;0
40;40;130;20000;25000000;27,8470936;70,8004379;0
